timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643605767,,,1568.0,,
1643605797,,,1576.0,9.0,9.0
1643605826,,,1576.0,,
1643605857,,,1572.0,9.0,9.0
1643605887,,,1476.0,,
1643605917,,,1448.0,8.0,9.0
1643605947,,,1416.0,,
1643605977,,,1348.0,8.0,8.0
1643606007,,,1420.0,,
1643606037,,,1712.0,11.0,9.0
1643606067,,,1400.0,,
1643606097,,,1392.0,8.0,8.0
1643606127,,,1440.0,,
1643606157,,,840.0,6.0,6.0
1643606187,,,840.0,,
1643606217,,,104.0,4.0,4.0
1643606247,,,280.0,,
1643606277,,,368.0,6.0,6.0
1643606307,,,788.0,,
1643606337,,,888.0,6.0,6.0
1643606367,,,864.0,,
1643606397,,,1064.0,6.0,7.0
1643606427,,,1192.0,,
1643606457,,,956.0,6.0,7.0
1643606487,,,760.0,,
1643606518,,,860.0,6.0,6.0
1643606547,,,836.0,,
1643606577,,,108.0,4.0,4.0
1643606607,,,108.0,,
1643606638,,,104.0,4.0,4.0
1643606667,,,536.0,,
1643606697,,,700.0,5.0,5.0
1643606728,,,396.0,,
1643606758,,,404.0,6.0,6.0
1643606788,,,836.0,,
1643606818,,,916.0,6.0,6.0
1643606848,,,912.0,,
1643606878,,,968.0,6.0,7.0
1643606908,,,1800.0,,
1643606938,,,1552.0,9.0,9.0
1643606968,,,1616.0,,
1643606997,,,1628.0,9.0,10.0
1643607000,38006.7,17041.6,,,
1643607027,,,1648.0,,
1643607057,,,1708.0,9.0,10.0
1643607087,,,1676.0,,
1643607118,,,1708.0,9.0,10.0
1643607147,,,1732.0,,
1643607177,,,1724.0,10.0,10.0
1643607207,,,1732.0,,
1643607237,,,1788.0,10.0,10.0
1643607267,,,2696.0,,
1643607297,,,2652.0,14.0,15.0
1643607327,,,2696.0,,
1643607358,,,2732.0,14.0,15.0
1643607387,,,2728.0,,
1643607417,,,2348.0,12.0,13.0
1643607447,,,2184.0,,
1643607477,,,1940.0,11.0,11.0
1643607507,,,1728.0,,
1643607537,,,1664.0,9.0,10.0
1643607567,,,1668.0,,
1643607597,,,1704.0,10.0,10.0
1643607628,,,1776.0,,
1643607658,,,1860.0,10.0,11.0
1643607687,,,1908.0,,
1643607718,,,1752.0,9.0,10.0
1643607747,,,1760.0,,
1643607778,,,1792.0,10.0,10.0
1643607808,,,1792.0,,
1643607838,,,3708.0,19.0,20.0
1643607868,,,3724.0,,
1643607898,,,3720.0,19.0,20.0
1643607928,,,3728.0,,
1643607958,,,3744.0,19.0,20.0
1643607988,,,3876.0,,
1643608018,,,3692.0,19.0,20.0
1643608048,,,3664.0,,
1643608078,,,3724.0,19.0,20.0
1643608108,,,3724.0,,
