timestamp,generatedElectricity,instanceElectricity_x,normalUsage,reverseUsage,instanceElectricity_y,instanceCurrents,instanceCurrentsT
1643600401,,,,,-3936.0,-20.0,-20.0
1643600415,,4382.0,,,,,
1643600431,,,,,-4052.0,,
1643600461,,,,,-4024.0,-21.0,-20.0
1643600475,2302.904,4391.0,,,,,
1643600491,,,,,-3976.0,,
1643600521,,,,,-4024.0,-21.0,-20.0
1643600535,,4388.0,,,,,
1643600551,,,,,-3956.0,,
1643600581,,,,,-3724.0,-19.0,-20.0
1643600595,,4361.0,,,,,
1643600611,,,,,-3992.0,,
1643600641,,,,,-3960.0,-20.0,-20.0
1643600655,,4356.0,,,,,
1643600671,,,,,-3968.0,,
1643600701,,,,,-3980.0,-21.0,-20.0
1643600715,,4337.0,,,,,
1643600731,,,,,-3900.0,,
1643600761,,,,,-3936.0,-20.0,-20.0
1643600775,2302.904,4303.0,,,,,
1643600791,,,,,-3948.0,,
1643600821,,,,,-3896.0,-20.0,-19.0
1643600835,,4299.0,,,,,
1643600851,,,,,-3908.0,,
1643600881,,,,,-3872.0,-20.0,-20.0
1643600895,,4260.0,,,,,
1643600911,,,,,-3860.0,,
1643600941,,,,,-3952.0,-20.0,-20.0
1643600955,,4253.0,,,,,
1643600971,,,,,-3924.0,,
1643601001,,,,,-3892.0,-20.0,-19.0
1643601015,,4228.0,,,,,
1643601031,,,,,-3928.0,,
1643601061,,,,,-3880.0,-20.0,-20.0
1643601075,2302.904,4218.0,,,,,
1643601091,,,,,-3592.0,,
1643601122,,,,,-3860.0,-20.0,-19.0
