timestamp,temperatureSetting,operationMode,operationStatus,airFlow
1646296855,20.0,67.0,49.0,65.0
1646297155,20.0,67.0,49.0,65.0
1646297455,20.0,67.0,49.0,65.0
1646297756,20.0,67.0,49.0,65.0
1646298056,20.0,67.0,49.0,65.0
1646298356,20.0,67.0,49.0,65.0
1646298656,20.0,67.0,49.0,65.0
1646298957,20.0,67.0,49.0,65.0
1646299257,20.0,67.0,49.0,65.0
1646299557,20.0,67.0,49.0,65.0
1646299858,20.0,67.0,49.0,65.0
1646300158,20.0,67.0,49.0,65.0
1646300458,20.0,67.0,49.0,65.0
1646300759,20.0,67.0,49.0,65.0
1646301059,20.0,67.0,49.0,65.0
1646301351,20.0,67.0,49.0,65.0
1646301354,20.0,67.0,49.0,65.0
1646301359,20.0,67.0,49.0,65.0
1646301660,20.0,67.0,49.0,65.0
1646301960,20.0,67.0,49.0,65.0
1646302260,20.0,67.0,49.0,65.0
1646302560,20.0,67.0,49.0,65.0
1646302860,20.0,67.0,49.0,65.0
1646303160,20.0,67.0,49.0,65.0
1646303460,20.0,67.0,49.0,65.0
1646303761,20.0,67.0,49.0,65.0
1646304061,20.0,67.0,49.0,65.0
1646304361,20.0,67.0,49.0,65.0
1646304662,20.0,67.0,49.0,65.0
1646304962,20.0,67.0,49.0,65.0
1646305262,20.0,67.0,49.0,65.0
1646305562,20.0,67.0,49.0,65.0
1646305863,20.0,67.0,49.0,65.0
1646306163,20.0,67.0,49.0,65.0
1646306463,20.0,67.0,49.0,65.0
1646306764,20.0,67.0,49.0,65.0
1646307064,20.0,67.0,49.0,65.0
1646307364,20.0,67.0,49.0,65.0
1646307665,20.0,67.0,49.0,65.0
1646307965,20.0,67.0,49.0,65.0
1646308265,20.0,67.0,49.0,65.0
1646308566,20.0,67.0,49.0,65.0
1646308866,20.0,67.0,49.0,65.0
1646309166,20.0,67.0,49.0,65.0
1646309467,20.0,67.0,49.0,65.0
1646309767,20.0,67.0,49.0,65.0
1646310067,20.0,67.0,49.0,65.0
1646310367,20.0,67.0,49.0,65.0
1646310668,20.0,67.0,49.0,65.0
1646310968,20.0,67.0,49.0,65.0
1646311268,20.0,67.0,49.0,65.0
1646311569,20.0,67.0,49.0,65.0
1646311869,20.0,67.0,49.0,65.0
1646312169,20.0,67.0,49.0,65.0
