time,instanceElectricity,instanceCurrents,instanceCurrentsT,normalUsage,reverseUsage,instanceElectricityIN,generatedElectricity,acChargingEnergy,acDischargeableElectricEnergy,acDischargingEnergy,sin(1day),sin(7days)
1119600,344.447543840616,2.84062404591216,2.80991480728773,38985.9,17041.6,-0.105857121729095,22893.6469958489,5978.52099999885,3496.00012219121,4646.544,-0.258819045102525,-0.804597779766668
1119900,932.923948654477,4.80255376625953,4.37453629396904,38986.0955568339,17041.5999988391,0.223251980892129,22893.647484508,5978.52100000031,3495.99996725808,4646.544,-0.237685892326182,-0.802743139758799
1120200,1931.47183447532,10.4734035921056,10.0761662003723,38986.243228056,17041.5999975615,-0.558043089755367,22893.6480361195,5978.52099999992,3496.00000877646,4646.544,-0.216439613938101,-0.800880702259027
1120500,2204.17296951441,11.7429160592886,11.2523978542381,38986.3602608249,17041.5999966029,2.4072824566466,22893.6483604856,5978.52100000002,3495.99999763451,4646.544,-0.195090322016131,-0.79901048535825
1120800,2502.65576099865,12.9933255812077,12.3067819033338,38986.4639022995,17041.5999963992,4.19816257571214,22893.6495991191,5978.52099999999,3496.00000063207,4646.544,-0.173648177666937,-0.797132507222923
1121100,2220.86626878492,12.3777880944243,11.828349924929,38986.5713996382,17041.5999973863,-2.34000254533726,22893.6500655137,5978.521,3495.99999983063,4646.544,-0.152123386189927,-0.795246786094899
1121400,2029.66667747946,11.7083198169578,11.0736564480784,38986.7,17041.6,1.31534115297385,22893.6500061752,5978.521,3496.0000000454,4646.544,-0.130526192220052,-0.793353340291235
1121700,2406.52848603275,13.1136119677065,12.4639075393032,38986.8624106983,17041.6000043324,-1.31287077845688,22893.6499095508,5978.521,3495.99999998776,4646.544,-0.108866874851969,-0.791452188204031
1122000,2600.87134969782,13.8107481133192,13.5389930389863,38987.0531796665,17041.6000091007,0.289203053539287,22893.6504687068,5978.521,3496.00000000327,4646.544,-0.0871557427476665,-0.789543348300236
1122300,2304.99569189295,12.1627792684389,12.07747418408,38987.2623149926,17041.6000126783,43.3099718941336,22893.6512708314,5978.521,3495.99999999913,4646.544,-0.0654031292301413,-0.787626839121475
1122600,2167.70245820136,11.5466710645945,10.6823424967484,38987.4798247648,17041.6000134384,72.9598137011943,22893.6537137604,5978.521,3496.00000000023,4646.544,-0.0436193873653382,-0.785702679283873
1122900,2198.03023613548,12.0297418645155,11.0712821324061,38987.6957170712,17041.6000097545,76.7955558249685,22893.6579583243,5978.521,3495.99999999995,4646.544,-0.0218148850345674,-0.783770887477868
1123200,2178.67806045343,11.7773754976717,11.1414907957658,38987.9,17041.6,85.6360292046099,22893.6622070679,5978.521,3495.99999999996,4646.544,3.92134567981788e-15,-0.781831482468029
1123500,2099.24222088758,11.4469993486678,10.8790143705056,38988.0853559283,17041.5999838311,87.6394394174631,22893.6679662225,5978.521,3496.00000000021,4646.544,0.021814885034561,-0.779884483092882
1123800,1985.2024752439,10.8879977246451,10.5766564597551,38988.2551643891,17041.5999660356,90.513142360673,22893.6733508636,5978.521,3495.9999999992,4646.544,0.0436193873653319,-0.777929908264716
1124100,2126.23422259828,11.1490273285435,11.1331722002803,38988.4154792047,17041.5999526841,91.6813288724798,22893.6791633288,5978.521,3496.00000000296,4646.544,0.0654031292301349,-0.775967776969406
1124400,2135.91285401876,10.7895190461352,12.6098450553012,38988.5723541969,17041.5999498472,90.4281025783617,22893.6864395263,5978.521,3495.99999998895,4646.544,0.0871557427476602,-0.773998108266228
1124700,2369.89064315157,10.9167814030433,14.2302973529837,38988.731843188,17041.5999635956,95.4975082910116,22893.6932385661,5978.521,3496.00000004124,4646.544,0.108866874851963,-0.772020921287674
1125000,2685.61162460918,12.0756547877509,15.3591552760175,38988.9,17041.6,94.8523564576184,22893.7008768013,5978.521,3495.9999998461,4646.544,0.130526192220046,-0.770036235239263
1125300,2283.2514271288,10.9911990029153,13.789918608247,38989.0815392271,17041.6000631676,102.845312415114,22893.7083242448,5978.521,3496.00000057437,4646.544,0.152123386189921,-0.768044069399358
1125600,2003.35828560774,9.30615704655948,12.3646181652367,38989.2758185517,17041.6001493526,124.168939385284,22893.7160667954,5978.521,3495.99999785643,4646.544,0.17364817766693,-0.766044443118978
1125900,1989.1906584671,9.33039101266639,11.9222476288165,38989.4808564286,17041.6002528459,139.282809655409,22893.7257165966,5978.521,3496.00000799991,4646.544,0.195090322016124,-0.764037375821607
1126200,2201.1714537251,10.9324347518026,13.1435779446081,38989.6946713124,17041.6003679382,158.013645031179,22893.7360173861,5978.521,3495.99997007419,4646.544,0.216439613938109,-0.76202288700301
1126500,3338.79354331868,15.3963670345675,18.8028779402784,38989.9152816576,17041.6004889204,164.037197445817,22893.7480384442,5978.521,3496.00011095854,4646.544,0.237685892326175,-0.760000996231042
1126800,3932.02378632447,23.3972924802096,18.5925847364127,38990.140705919,17041.6006100833,166.708329686975,22893.7612954957,5978.521,3495.99958606618,4646.544,0.258819045102519,-0.757971723145453
1127100,2780.9768710671,20.0958040680597,12.9849466769725,38990.3689625512,17041.6007257178,194.896176321016,22893.7739543904,5978.521,3496.00154832667,4646.544,0.279829014030987,-0.755935087457707
1127400,1973.38435515245,8.41821201025885,11.4307738817642,38990.5980700087,17041.6008301147,211.888751905204,22893.7882544573,5978.521,3495.9942595134,4646.544,0.300705799504277,-0.75389110895078
1127700,2304.92718138146,13.9358516228484,10.7067335678728,38990.8260467463,17041.6009175649,228.553599144301,22893.8050181913,5978.521,3496.02141496845,4646.544,0.321439465303162,-0.751839807478977
1128000,2204.75631123196,18.7563601788394,10.1861617252875,38991.0509112186,17041.6009823591,248.058701453012,22893.8222049107,5978.521,3495.9200806128,4646.544,0.342020143325665,-0.749781202967734
1128300,2030.87423999462,9.65275973702417,9.72018219871006,38991.2706818801,17041.6010187883,272.25073740713,22893.8417389862,5978.521,3496.29893680492,4646.544,0.362438038283708,-0.747715315413423
1128600,2384.59815757308,10.1227113067091,10.3403877045735,38991.4833771856,17041.6010211432,315.828685796976,22893.8627128564,5978.521,3494.89174889458,4646.544,0.382683432365092,-0.745642164883165
1128900,2559.93132063392,13.731291507111,11.9406818700761,38991.6870155896,17041.6009837146,355.771429012996,22893.8850546504,5978.521,3500.13433422834,4646.544,0.402746689858736,-0.743561771514626
1129200,2383.28861454108,10.4321871366573,11.8616887142036,38991.8796155468,17041.6009007935,415.940878613549,22893.9126831649,5978.521,3476.20084011797,4646.544,0.422618261740695,-0.741474155515828
1129500,2012.65648249363,9.30982404788266,11.9700862634757,38992.0591955118,17041.6007666707,481.723976871265,22893.9438560593,5978.521,3448.50663136975,4646.544,0.442288690219006,-0.739379337164946
1129800,1435.21844829311,7.70128960570248,9.63583890833796,38992.2237739392,17041.6005756369,572.243729928873,22893.9797816096,5978.521,3454.20027732275,4646.544,0.461748613235035,-0.737277336810124
1130100,1069.99225635711,5.98184606357772,7.82648623232937,38992.3713692838,17041.6003219831,780.535595404958,22894.0229082298,5978.521,3452.6782731594,4646.544,0.480988768919385,-0.735168174869262
1130400,1050.556591244,6.09792000298154,8.53861548321059,38992.5,17041.6,1078.83902160776,22894.0782036207,5978.521,3453.08667689874,4646.544,0.499999999999994,-0.733051871829827
1130700,1142.98228466761,6.14422132604234,8.84096563502331,38992.6087837992,17041.5996210458,1088.49363452029,22894.1592735768,5978.521,3452.97684840033,4646.544,0.518773258160512,-0.73092844824865
1131000,1113.56258717956,6.80443495042849,9.18793347200216,38992.7012354194,17041.5992647474,1045.78718749719,22894.2487682623,5978.521,3453.00620360847,4646.544,0.537299608346823,-0.728797924751728
1131300,672.580505163943,5.00065935078334,6.90195330108264,38992.781968855,17041.5990277994,1328.58361519803,22894.3393530875,5978.521,3452.99833716579,4646.544,0.555570233019598,-0.726660322034027
1131600,896.825151118633,5.0607205536383,7.69949470239444,38992.8555981006,17041.5990068959,1119.43168876361,22894.4443495907,5978.521,3453.00044796472,4646.544,0.573576436351038,-0.724515660859273
1131900,1011.92452945253,4.89450090468956,7.19809479169961,38992.9267371507,17041.5992987313,924.365293562723,22894.5402883007,5978.521,3452.99988035084,4646.544,0.591309648363572,-0.722363962059757
1132200,867.103277614343,3.67367365614953,7.56281795174263,38993,17041.6,1086.45642212891,22894.6231759823,5978.521,3453.00003207123,4646.544,0.608761429008718,-0.720205246536127
1132500,1086.20972073405,4.26948176312445,12.3302898123362,38993.0788776773,17041.6011230416,1242.98634503221,22894.7188103137,5978.521,3452.99999135981,4646.544,0.625923472184054,-0.718039535257195
