timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT,evRemainingChargableCapacity,evRemainingDischargableCapacity,vehicleStatus
1643599229,,,-2000.0,-9.0,-11.0,,,
1643599259,,,-1884.0,,,,,
1643599289,,,-2196.0,-10.0,-12.0,,,
1643599318,,,,,,0.0,9800.0,66.0
1643599319,,,-2076.0,,,,,
1643599350,,,-1888.0,-10.0,-9.0,,,
1643599379,,,-1896.0,,,,,
1643599410,,,-2200.0,-10.0,-12.0,,,
1643599438,,,-2048.0,,,,,
1643599470,,,60.0,3.0,-2.0,,,
1643599499,,,60.0,,,,,
1643599530,,,56.0,4.0,-2.0,,,
1643599559,,,-1828.0,,,,,
1643599590,,,-1820.0,-8.0,-10.0,,,
1643599619,,,-1804.0,,,,,
1643599650,,,-1808.0,-8.0,-10.0,,,
1643599679,,,-1832.0,,,,,
1643599710,,,-1840.0,-9.0,-10.0,,,
1643599739,,,-1848.0,,,,,
1643599770,,,-1852.0,-9.0,-10.0,,,
1643599799,,,60.0,,,,,
1643599800,6088.8,1098.9,,,,,,
1643599830,,,56.0,3.0,-2.0,,,
1643599859,,,56.0,,,,,
1643599891,,,56.0,3.0,-2.0,,,
1643599919,,,-2016.0,,,0.0,9700.0,66.0
1643599950,,,-2224.0,-10.0,-12.0,,,
1643599979,,,-2240.0,,,,,
1643600010,,,-1996.0,-10.0,-10.0,,,
1643600040,,,-2232.0,,,,,
1643600070,,,60.0,3.0,-2.0,,,
1643600099,,,60.0,,,,,
1643600132,,,60.0,3.0,-2.0,,,
1643600160,,,-2160.0,,,,,
1643600190,,,-1964.0,-9.0,-11.0,,,
1643600220,,,-1952.0,,,,,
1643600250,,,-1888.0,-9.0,-10.0,,,
1643600280,,,-1860.0,,,,,
1643600311,,,-1880.0,-9.0,-10.0,,,
1643600339,,,-1852.0,,,,,
1643600371,,,-1876.0,-9.0,-10.0,,,
1643600400,,,-1868.0,,,,,
1643600431,,,-1888.0,-9.0,-10.0,,,
1643600460,,,-1892.0,,,,,
1643600491,,,-1892.0,-9.0,-10.0,,,
1643600519,,,,,,0.0,9300.0,66.0
1643600520,,,-1892.0,,,,,
1643600551,,,-1888.0,-9.0,-10.0,,,
1643600580,,,60.0,,,,,
1643600611,,,60.0,3.0,-2.0,,,
1643600640,,,60.0,,,,,
1643600671,,,60.0,3.0,-2.0,,,
1643600701,,,-2244.0,,,,,
1643600731,,,-2236.0,-11.0,-12.0,,,
1643600760,,,-2232.0,,,,,
1643600791,,,-2236.0,-11.0,-12.0,,,
1643600820,,,-2256.0,,,,,
1643600851,,,-2264.0,-11.0,-12.0,,,
1643600880,,,-2244.0,,,,,
1643600911,,,-2232.0,-11.0,-12.0,,,
1643600940,,,-2252.0,,,,,
1643600971,,,-2224.0,-11.0,-12.0,,,
1643601000,,,-2208.0,,,,,
1643601032,,,-2072.0,-10.0,-11.0,,,
1643601060,,,-1924.0,,,,,
1643601092,,,60.0,3.0,-2.0,,,
1643601120,,,,,,100.0,9100.0,67.0
1643601121,,,60.0,,,,,
1643601151,,,-1076.0,-9.0,-4.0,,,
1643601180,,,-952.0,,,,,
1643601211,,,-1108.0,-9.0,-1.0,,,
1643601241,,,-1492.0,,,,,
1643601272,,,-1644.0,-9.0,-11.0,,,
1643601301,,,-2088.0,,,,,
1643601332,,,-2096.0,-10.0,-12.0,,,
1643601361,,,-2104.0,,,,,
1643601392,,,-2112.0,-10.0,-12.0,,,
1643601421,,,-2108.0,,,,,
1643601453,,,60.0,4.0,-2.0,,,
1643601481,,,60.0,,,,,
1643601512,,,60.0,4.0,-2.0,,,
1643601541,,,60.0,,,,,
1643601572,,,-1944.0,-9.0,-11.0,,,
1643601600,6088.8,1099.6,,,,,,
1643601601,,,-1828.0,,,,,
1643601632,,,-1796.0,-8.0,-10.0,,,
1643601661,,,-1736.0,,,,,
1643601692,,,-1708.0,-8.0,-10.0,,,
1643601721,,,,,,0.0,9300.0,66.0
1643601722,,,-1692.0,,,,,
1643601752,,,-1672.0,-8.0,-10.0,,,
1643601781,,,-1720.0,,,,,
1643601812,,,-1828.0,-8.0,-10.0,,,
1643601841,,,-2096.0,,,,,
1643601872,,,-2104.0,-10.0,-12.0,,,
1643601902,,,-2108.0,,,,,
1643601933,,,-2096.0,-10.0,-11.0,,,
1643601961,,,-484.0,,,,,
1643601992,,,-476.0,-5.0,-5.0,,,
1643602022,,,56.0,,,,,
1643602053,,,56.0,3.0,-2.0,,,
1643602082,,,56.0,,,,,
1643602112,,,56.0,3.0,-2.0,,,
1643602142,,,-1760.0,,,,,
1643602172,,,-1744.0,-8.0,-10.0,,,
1643602201,,,-1676.0,,,,,
1643602233,,,-1648.0,-8.0,-10.0,,,
1643602262,,,-1640.0,,,,,
1643602293,,,-1620.0,-8.0,-9.0,,,
1643602321,,,-1600.0,,,0.0,9200.0,66.0
1643602353,,,-1612.0,-8.0,-9.0,,,
1643602382,,,-1860.0,,,,,
1643602414,,,-2004.0,-9.0,-11.0,,,
1643602442,,,-2012.0,,,,,
1643602473,,,-1768.0,-9.0,-9.0,,,
1643602502,,,-2024.0,,,,,
1643602536,,,-2012.0,-9.0,-11.0,,,
1643602562,,,-2000.0,,,,,
1643602593,,,-2004.0,-9.0,-11.0,,,
1643602622,,,-1120.0,,,,,
1643602653,,,56.0,4.0,-2.0,,,
1643602682,,,56.0,,,,,
1643602713,,,52.0,3.0,-2.0,,,
1643602742,,,56.0,,,,,
1643602773,,,-2092.0,-10.0,-11.0,,,
1643602802,,,-2100.0,,,,,
1643602833,,,-2100.0,-10.0,-11.0,,,
1643602862,,,-2100.0,,,,,
1643602893,,,-2100.0,-10.0,-11.0,,,
1643602922,,,-2096.0,,,0.0,9300.0,66.0
1643602954,,,-2096.0,-10.0,-11.0,,,
1643602982,,,-2096.0,,,,,
1643603013,,,-2092.0,-10.0,-11.0,,,
1643603042,,,-2092.0,,,,,
1643603074,,,-2088.0,-10.0,-11.0,,,
1643603103,,,-2088.0,,,,,
1643603134,,,-2056.0,-10.0,-11.0,,,
1643603162,,,56.0,,,,,
1643603193,,,56.0,3.0,-2.0,,,
1643603223,,,-1748.0,,,,,
1643603254,,,-1692.0,-8.0,-9.0,,,
1643603283,,,-1660.0,,,,,
1643603314,,,-1652.0,-8.0,-9.0,,,
1643603344,,,-1636.0,,,,,
1643603374,,,-2056.0,-10.0,-11.0,,,
1643603400,6088.8,1100.4,,,,,,
1643603403,,,-2052.0,,,,,
1643603434,,,-2064.0,-10.0,-11.0,,,
1643603463,,,56.0,,,,,
1643603494,,,56.0,3.0,-2.0,,,
1643603523,,,56.0,,,0.0,9100.0,67.0
1643603554,,,-2092.0,-10.0,-11.0,,,
1643603583,,,-2092.0,,,,,
1643603615,,,-2088.0,-10.0,-11.0,,,
1643603643,,,-2080.0,,,,,
1643603674,,,-2072.0,-10.0,-11.0,,,
1643603703,,,-1820.0,,,,,
1643603734,,,-2056.0,-10.0,-11.0,,,
1643603763,,,-2056.0,,,,,
