timestamp,normalUsage,reverseUsage,instanceElectricity,instanceCurrents,instanceCurrentsT
1643602669,,,-348.0,-3.0,-4.0
1643602697,,,-331.0,,
1643602729,,,-303.0,-4.0,4.0
1643602757,,,-335.0,,
1643602789,,,-349.0,-4.0,-4.0
1643602817,,,-349.0,,
1643602849,,,-359.0,-4.0,-4.0
1643602877,,,-352.0,,
1643602909,,,-351.0,-3.0,-4.0
1643602938,,,-298.0,,
1643602969,,,-290.0,-3.0,4.0
1643602998,,,-342.0,,
1643603029,,,-335.0,-3.0,-4.0
1643603058,,,-330.0,,
1643603090,,,-345.0,-3.0,-4.0
1643603118,,,-336.0,,
1643603149,,,-284.0,-3.0,-4.0
1643603178,,,-456.0,,
1643603209,,,-498.0,-3.0,-4.0
1643603238,,,-497.0,,
1643603269,,,-500.0,-3.0,-4.0
1643603298,,,-492.0,,
1643603330,,,-492.0,-3.0,-4.0
1643603359,,,-469.0,,
1643603390,,,-438.0,-3.0,-4.0
1643603400,4721.9,590.0,,,
1643603418,,,-486.0,,
1643603450,,,-482.0,-3.0,-4.0
1643603479,,,-463.0,,
1643603510,,,-469.0,-3.0,-4.0
1643603539,,,-473.0,,
1643603570,,,-448.0,-3.0,-4.0
1643603598,,,-413.0,,
1643603630,,,-467.0,-3.0,-4.0
1643603658,,,-603.0,,
1643603690,,,-627.0,-3.0,-5.0
1643603719,,,-583.0,,
1643603750,,,-790.0,-5.0,-5.0
1643603779,,,-733.0,,
1643603810,,,-711.0,-5.0,-4.0
1643603839,,,-753.0,,
1643603870,,,-738.0,-5.0,-4.0
1643603899,,,-721.0,,
1643603930,,,-660.0,-5.0,4.0
1643603959,,,-675.0,,
1643603990,,,-656.0,-4.0,-4.0
1643604019,,,-623.0,,
1643604051,,,-633.0,-4.0,-4.0
1643604079,,,-648.0,,
1643604110,,,-657.0,-4.0,-4.0
1643604139,,,-652.0,,
1643604170,,,-641.0,-4.0,-4.0
1643604200,,,-413.0,,
1643604231,,,-547.0,-4.0,-4.0
1643604259,,,-572.0,,
1643604292,,,-615.0,-4.0,-4.0
1643604320,,,-614.0,,
1643604350,,,-620.0,-4.0,-4.0
1643604379,,,-616.0,,
1643604411,,,-570.0,-4.0,-4.0
1643604439,,,-557.0,,
1643604473,,,-557.0,-4.0,-4.0
1643604500,,,-612.0,,
1643604531,,,-605.0,-4.0,-4.0
1643604559,,,-923.0,,
1643604591,,,-813.0,-4.0,-3.0
1643604619,,,-875.0,,
1643604651,,,-880.0,-4.0,-5.0
1643604680,,,62.0,,
1643604711,,,55.0,9.0,-8.0
1643604740,,,-75.0,,
1643604771,,,24.0,7.0,-8.0
1643604800,,,-510.0,,
1643604831,,,-490.0,-4.0,-4.0
1643604860,,,-526.0,,
1643604891,,,-547.0,-4.0,-4.0
1643604920,,,-293.0,,
1643604951,,,-486.0,-4.0,-4.0
1643604980,,,-518.0,,
1643605011,,,-539.0,-4.0,4.0
1643605041,,,-529.0,,
1643605071,,,-689.0,-4.0,-4.0
1643605100,,,-705.0,,
1643605131,,,-709.0,-4.0,-4.0
1643605160,,,-671.0,,
1643605192,,,-681.0,-4.0,-4.0
1643605200,4721.9,590.3,,,
1643605220,,,19.0,,
1643605252,,,21.0,7.0,-8.0
1643605281,,,23.0,,
1643605312,,,-644.0,-4.0,-4.0
1643605340,,,-608.0,,
1643605372,,,-605.0,-4.0,-4.0
1643605400,,,-585.0,,
1643605433,,,-522.0,-4.0,-4.0
1643605461,,,-507.0,,
1643605492,,,-538.0,-4.0,-4.0
1643605520,,,-531.0,,
1643605552,,,-536.0,-4.0,-4.0
1643605581,,,-534.0,,
1643605612,,,-531.0,-4.0,-4.0
1643605640,,,-475.0,,
1643605672,,,-514.0,-4.0,-4.0
1643605701,,,-517.0,,
1643605733,,,-517.0,-4.0,-4.0
1643605761,,,-512.0,,
1643605792,,,-515.0,-4.0,-4.0
1643605821,,,-542.0,,
1643605852,,,-792.0,-4.0,-4.0
1643605881,,,-823.0,,
1643605912,,,-829.0,-4.0,-5.0
1643605941,,,-824.0,,
1643605972,,,-829.0,-4.0,-5.0
1643606001,,,-668.0,,
1643606032,,,-386.0,-3.0,-4.0
1643606062,,,-380.0,,
1643606093,,,-385.0,-3.0,-3.0
1643606121,,,-382.0,,
1643606153,,,-362.0,-3.0,-3.0
1643606181,,,-323.0,,
1643606213,,,-308.0,-3.0,-4.0
1643606242,,,-254.0,,
1643606273,,,-275.0,-3.0,4.0
1643606301,,,-350.0,,
1643606333,,,-439.0,-3.0,-4.0
1643606363,,,-396.0,,
1643606393,,,-409.0,-3.0,-4.0
1643606421,,,-351.0,,
1643606453,,,-301.0,-3.0,-3.0
1643606482,,,-333.0,,
1643606513,,,-332.0,-3.0,-3.0
1643606542,,,-298.0,,
1643606573,,,-292.0,-3.0,-3.0
1643606601,,,-120.0,,
1643606633,,,-239.0,-3.0,-3.0
1643606662,,,-288.0,,
1643606693,,,-288.0,-3.0,-4.0
1643606722,,,-625.0,,
1643606754,,,-630.0,-3.0,-4.0
1643606782,,,-625.0,,
1643606813,,,-585.0,-3.0,-4.0
1643606842,,,-608.0,,
1643606873,,,-633.0,-3.0,-4.0
1643606902,,,-418.0,,
1643606933,,,-287.0,-3.0,-3.0
1643606962,,,-280.0,,
1643606993,,,-214.0,-3.0,-3.0
1643607000,4721.9,590.5,,,
1643607022,,,-185.0,,
1643607053,,,-228.0,-3.0,-3.0
1643607082,,,-180.0,,
1643607113,,,-171.0,-3.0,4.0
1643607142,,,-289.0,,
1643607173,,,-388.0,-3.0,-3.0
1643607202,,,-340.0,,
1643607234,,,-389.0,-3.0,-3.0
1643607262,,,-367.0,,
1643607293,,,-551.0,-3.0,-4.0
1643607322,,,-550.0,,
1643607354,,,-552.0,-3.0,-4.0
1643607383,,,-506.0,,
1643607414,,,-528.0,-3.0,-3.0
1643607443,,,-545.0,,
1643607474,,,-363.0,-3.0,-3.0
1643607503,,,-178.0,,
1643607534,,,-204.0,-3.0,-3.0
1643607562,,,-157.0,,
1643607594,,,-169.0,-3.0,-3.0
1643607623,,,-196.0,,
1643607655,,,-179.0,-3.0,-3.0
1643607682,,,-140.0,,
1643607714,,,-148.0,-2.0,4.0
1643607743,,,22.0,,
1643607774,,,-210.0,-3.0,-4.0
1643607803,,,-386.0,,
1643607834,,,-396.0,-3.0,-3.0
1643607863,,,-397.0,,
1643607894,,,-563.0,-2.0,-4.0
1643607923,,,-548.0,,
1643607954,,,-506.0,-2.0,-4.0
1643607983,,,-557.0,,
1643608014,,,-552.0,-2.0,-2.0
1643608043,,,-561.0,,
1643608074,,,-536.0,-2.0,-4.0
1643608103,,,-538.0,,
1643608135,,,-482.0,-2.0,-3.0
1643608163,,,-226.0,,
1643608195,,,-529.0,-2.0,-4.0
1643608223,,,-523.0,,
1643608255,,,-529.0,-2.0,-4.0
1643608283,,,-520.0,,
1643608315,,,-474.0,-2.0,-4.0
1643608343,,,-153.0,,
1643608375,,,86.0,7.0,-6.0
1643608403,,,95.0,,
1643608435,,,-487.0,-2.0,-4.0
1643608464,,,95.0,,
1643608495,,,-442.0,-2.0,-4.0
1643608523,,,-454.0,,
1643608555,,,-464.0,-2.0,-4.0
1643608584,,,-4.0,,
1643608615,,,12.0,3.0,-3.0
1643608644,,,10.0,,
1643608675,,,23.0,4.0,-4.0
1643608703,,,27.0,,
1643608735,,,20.0,4.0,-4.0
1643608764,,,29.0,,
1643608795,,,28.0,4.0,-5.0
1643608800,4721.9,590.7,,,
1643608824,,,24.0,,
1643608857,,,21.0,5.0,-5.0
1643608884,,,25.0,,
1643608915,,,25.0,5.0,-5.0
1643608944,,,25.0,,
1643608975,,,26.0,4.0,-4.0
1643609004,,,27.0,,
1643609035,,,45.0,-5.0,5.0
1643609064,,,24.0,,
1643609095,,,20.0,4.0,-4.0
1643609124,,,25.0,,
1643609155,,,25.0,5.0,-5.0
1643609184,,,24.0,,
1643609216,,,19.0,4.0,-5.0
1643609244,,,54.0,,
1643609275,,,16.0,4.0,-5.0
1643609304,,,12.0,,
1643609335,,,6.0,4.0,-4.0
1643609364,,,11.0,,
1643609396,,,5.0,4.0,-3.0
1643609425,,,8.0,,
1643609456,,,12.0,3.0,-3.0
1643609485,,,7.0,,
1643609516,,,10.0,3.0,-3.0
1643609544,,,7.0,,
1643609576,,,15.0,3.0,-3.0
1643609605,,,8.0,,
1643609636,,,3.0,3.0,-3.0
1643609665,,,11.0,,
1643609696,,,4.0,3.0,-3.0
1643609725,,,6.0,,
1643609756,,,14.0,3.0,-3.0
1643609785,,,10.0,,
1643609816,,,-48.0,3.0,-2.0
1643609845,,,3.0,,
1643609876,,,-64.0,2.0,-2.0
1643609905,,,-9.0,,
1643609936,,,-36.0,2.0,-2.0
1643609965,,,-51.0,,
1643609996,,,-4.0,-3.0,2.0
1643610025,,,-50.0,,
1643610056,,,-106.0,2.0,-2.0
1643610085,,,-57.0,,
1643610117,,,-88.0,2.0,-2.0
1643610146,,,-101.0,,
1643610177,,,-93.0,2.0,-2.0
1643610206,,,-88.0,,
1643610237,,,-74.0,2.0,-2.0
1643610265,,,10.0,,
1643610297,,,4.0,2.0,-2.0
1643610325,,,7.0,,
1643610357,,,6.0,2.0,-2.0
1643610386,,,1.0,,
1643610417,,,-2.0,2.0,-2.0
1643610444,,,3.0,,
1643610476,,,-24.0,2.0,-2.0
1643610504,,,-31.0,,
1643610536,,,-26.0,2.0,-2.0
1643610565,,,33.0,,
1643610596,,,-2.0,2.0,-2.0
